INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9964 tickers need features | computing 9964 this run
INFO:build_features:9550/9964 tickers | 32,637,053 feature rows | 0 skipped | 10.4 tickers/s | ETA 0.7 min
INFO:build_features:9600/9964 tickers | 32,879,989 feature rows | 0 skipped | 10.4 tickers/s | ETA 0.6 min
INFO:build_features:9650/9964 tickers | 33,127,024 feature rows | 0 skipped | 10.5 tickers/s | ETA 0.5 min
INFO:build_features:9700/9964 tickers | 33,221,293 feature rows | 0 skipped | 10.5 tickers/s | ETA 0.4 min
INFO:build_features:9750/9964 tickers | 33,353,917 feature rows | 0 skipped | 10.5 tickers/s | ETA 0.3 min
INFO:build_features:9800/9964 tickers | 33,505,330 feature rows | 0 skipped | 10.5 tickers/s | ETA 0.3 min
INFO:build_features:9850/9964 tickers | 33,599,229 feature rows | 0 skipped | 10.6 tickers/s | ETA 0.2 min
INFO:build_features:9900/9964 tickers | 33,700,270 feature rows | 0 skipped | 10.6 tickers/s | ETA 0.1 min
INFO:build_features:9950/9964 tickers | 33,781,621 feature rows | 0 skipped | 10.6 tickers/s | ETA 0.0 min
INFO:build_features:------------------------------------------------------------
INFO:build_features:Computed 9964 tickers, skipped 0 (under 210 bars), 33,816,446 rows in 15.6 min
INFO:build_features:features table: {'rows': 33837110, 'tickers': 9975, 'first_date': '1962-01-02', 'last_date': '2026-09-11'}
