WARNING:build_features:--rebuild: cleared 33,837,110 existing feature rows
INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9975 tickers need features | computing 9975 this run
INFO:build_features:6900/9975 tickers | 23,561,076 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.5 min
INFO:build_features:6950/9975 tickers | 23,682,086 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.5 min
INFO:build_features:7000/9975 tickers | 23,903,967 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.5 min
INFO:build_features:7050/9975 tickers | 24,089,650 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.4 min
INFO:build_features:7100/9975 tickers | 24,237,657 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.4 min
INFO:build_features:7150/9975 tickers | 24,381,493 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.3 min
INFO:build_features:7200/9975 tickers | 24,541,510 feature rows | 0 skipped | 20.2 tickers/s | ETA 2.3 min
INFO:build_features:7250/9975 tickers | 24,646,388 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.2 min
INFO:build_features:7300/9975 tickers | 24,736,387 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.2 min
INFO:build_features:7350/9975 tickers | 24,843,398 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.2 min
INFO:build_features:7400/9975 tickers | 25,015,123 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.1 min
INFO:build_features:7450/9975 tickers | 25,188,335 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.1 min
INFO:build_features:7500/9975 tickers | 25,386,938 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.0 min
INFO:build_features:7550/9975 tickers | 25,556,112 feature rows | 0 skipped | 20.3 tickers/s | ETA 2.0 min
INFO:build_features:7600/9975 tickers | 25,724,084 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.9 min
INFO:build_features:7650/9975 tickers | 25,899,946 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.9 min
INFO:build_features:7700/9975 tickers | 26,075,988 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.9 min
INFO:build_features:7750/9975 tickers | 26,248,133 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.8 min
INFO:build_features:7800/9975 tickers | 26,438,047 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.8 min
INFO:build_features:7850/9975 tickers | 26,612,545 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.7 min
INFO:build_features:7900/9975 tickers | 26,730,652 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.7 min
INFO:build_features:7950/9975 tickers | 26,896,932 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.7 min
INFO:build_features:8000/9975 tickers | 27,103,134 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.6 min
INFO:build_features:8050/9975 tickers | 27,267,616 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.6 min
INFO:build_features:8100/9975 tickers | 27,427,057 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.5 min
INFO:build_features:8150/9975 tickers | 27,582,476 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.5 min
INFO:build_features:8200/9975 tickers | 27,749,911 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.5 min
INFO:build_features:8250/9975 tickers | 27,915,217 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.4 min
INFO:build_features:8300/9975 tickers | 28,053,059 feature rows | 0 skipped | 20.4 tickers/s | ETA 1.4 min
INFO:build_features:8350/9975 tickers | 28,236,996 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.3 min
INFO:build_features:8400/9975 tickers | 28,429,578 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.3 min
INFO:build_features:8450/9975 tickers | 28,604,715 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.3 min
INFO:build_features:8500/9975 tickers | 28,813,464 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.2 min
INFO:build_features:8550/9975 tickers | 28,946,683 feature rows | 0 skipped | 20.3 tickers/s | ETA 1.2 min
